State,Year1998,Year2002,Year2003,Year2005,Year2007,Year2009,Year2011,Year2013,Year2015,Year2017,Year2019
Alabama,255,253,253,252,252,255,258,257,259,258,253
Alaska,,,256,259,259,259,261,261,260,258,252
Arizona,260,257,255,255,255,258,260,260,263,263,259
Arkansas,256,260,258,258,258,258,259,262,259,260,259
California,252,250,251,250,251,253,255,262,259,263,259
Colorado,264,,268,265,266,266,271,271,268,270,267
Connecticut,270,267,267,264,267,272,275,274,273,273,270
Delaware,254,267,265,266,265,265,266,266,263,263,260
District of Columbia,236,240,239,238,241,242,242,248,248,247,250
Florida,255,261,257,256,260,264,262,266,263,267,263
Georgia,257,258,258,257,259,260,262,265,262,266,262
Hawaii,249,252,251,249,251,255,257,260,257,261,258
Idaho,,266,264,264,265,265,268,270,269,270,266
Illinois,,,266,264,263,265,266,267,267,267,265
Indiana,,265,265,261,264,266,265,267,268,272,266
Iowa,,,268,267,267,265,265,269,268,268,262
Kansas,268,269,266,267,267,267,267,267,267,267,263
Kentucky,262,265,266,264,262,267,269,270,268,265,263
Louisiana,252,256,253,253,253,253,255,257,255,257,257
Maine,271,270,268,270,270,268,270,269,268,269,265
Maryland,261,263,262,261,265,267,271,274,268,267,264
Massachusetts,269,271,273,274,273,274,275,277,274,278,273
Michigan,,265,264,261,260,262,265,266,264,265,263
Minnesota,265,,268,268,268,270,270,271,270,269,264
Mississippi,251,255,255,251,250,251,254,253,252,256,256
Missouri,262,268,267,265,263,267,267,267,267,266,263
Montana,271,270,270,269,271,270,273,272,270,267,265
Nebraska,,270,266,267,267,267,268,269,269,269,264
Nevada,258,251,252,253,252,254,258,262,259,260,258
New Hampshire,,,271,270,270,271,272,274,275,275,268
New Jersey,,,268,269,270,273,275,276,271,275,270
New Mexico,258,254,252,251,251,254,256,256,253,256,252
New York,265,264,265,265,264,264,266,266,263,264,262
North Carolina,262,265,262,258,259,260,263,265,261,263,263
North Dakota,,268,270,270,268,269,269,268,267,265,263
Ohio,,268,267,267,268,269,268,269,266,268,267
Oklahoma,265,262,262,260,260,259,260,262,263,261,258
Oregon,266,268,264,263,266,265,264,268,268,266,264
Pennsylvania,,265,264,267,268,271,268,272,269,270,264
Rhode Island,264,262,261,261,258,260,265,267,265,266,262
South Carolina,255,258,258,257,257,257,260,261,260,260,259
South Dakota,,,270,269,270,270,269,268,267,267,263
Tennessee,258,260,258,259,259,261,259,265,265,262,262
Texas,261,262,259,258,261,260,261,264,261,260,256
Utah,263,263,264,262,262,266,267,270,269,269,267
Vermont,,272,271,269,273,272,274,274,274,273,268
Virginia,266,269,268,268,267,266,267,268,267,268,262
Washington,264,268,264,265,265,267,268,272,267,272,266
West Virginia,262,264,260,255,255,255,256,257,260,259,256
Wisconsin,265,,266,266,264,266,267,268,270,269,267
Wyoming,263,265,267,268,266,268,270,271,269,269,265



